충전소ID,충전소명,충전소주소,위도,경도
5880,해운대수목원,부산광역시 해운대구 석대동 419,35.22638805,129.1277287
5882,중리마을 공영주차장,경상남도 김해시 한림면 안곡리 296-1,35.29942683,128.8425069
5884,(전주거치형)호계교회앞,대구광역시 동구 신천동 344-5,35.87001308,128.6296497
5885,(전주거치형)상방복개천,울산광역시 북구 연암동 417-3,35.58091701,129.3637406
5886,(전주거치형)신명해수욕장,울산광역시 북구 신명동 286-6,35.64468648,129.4412597
5887,(전주거치형)무지개아파트2차 앞,울산광역시 북구 신천동 250-1,35.63547489,129.3514481
5888,(전주거치형)대송동 주민센터,울산광역시 동구 화정동 137-25,35.50268387,129.4189091
5889,(전주거치형)대하크리스탈,울산광역시 동구 화정동 850-11,35.49739144,129.4200835
5890,(전주거치형)주전동 548-2,울산광역시 동구 주전동 548-2,35.57138369,129.4523381
5891,(전주거치형)남목중학교,울산광역시 동구 서부동 568,35.5384136,129.4235619
5892,(전주거치형)전하2동,울산광역시 동구 전하동 692-9,35.50528511,129.4292433
5893,(전주거치형)전하1동,울산광역시 동구 전하동 544-215,35.51338123,129.4302367
5875,일산동구청 ev충전소,경기도 고양시 일산동구 마두동 815,37.65872,126.7749
5876,고양아람누리(고양문화재단) ev충전소,경기도 고양시 일산동구 마두동 816,37.6616,126.7746
5877,문발산업단지,경기도 파주시 신촌동 700,37.73075665,126.7089511
5878,지평면사무소 EV충전소,경기도 양평군 지평면 지평리 584-1,37.47407493,127.6390944
5872,세천로1길 노상주차장,대구광역시 달성군 다사읍 세천리 1670-7,35.8761,128.4632
5873,비산동 노상주차장,대구광역시 서구 비산동 2131-27,35.88489,128.5682
5868,한국전력공사 예천지사,경상북도 예천군 예천읍 백전리 101,36.66069371,128.4605362
5869,화동면 행정복지센터,경상북도 상주시 화동면 이소리 362-4,36.38960587,127.9541559
5870,회상나루관광단지,경상북도 상주시 중동면 회상리 769-1,36.44089903,128.2660868
