주유소명,시도명,시군구명,소재지도로명주소,소재지지번주소,전화번호,위도,경도,상표구분명,대표자명,총직원수,데이터기준일자,제공기관코드,제공기관명
(주)태산이앤엘 양지셀프주유소,대구광역시,북구,대구광역시 북구 관음로 211 (읍내동),,,35.94776708,128.5467481,SK,,,2024-07-23,3450000,대구광역시 북구
천지주유소,대구광역시,북구,대구광역시 북구 사수로 369 (금호동),,,35.89626043,128.5215703,알뜰,,,2024-07-23,3450000,대구광역시 북구
(주)에이치씨대하에너지 연경주유소,대구광역시,북구,대구광역시 북구 동화천로 207 (연경동),,,35.94160002,128.6137371,S-Oil,,,2024-07-23,3450000,대구광역시 북구
미니주유소,대구광역시,북구,대구광역시 북구 침산남로 224 (침산동),,,35.88617783,128.5999446,SK,,,2024-07-23,3450000,대구광역시 북구
에이치디현대오일뱅크(주)직영 금호셀프주유소,대구광역시,북구,대구광역시 북구 사수로 436 (금호동),,,35.89537134,128.525634,현대,,,2024-07-23,3450000,대구광역시 북구
패밀리주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 146 (태전동),,,35.90872826,128.5486198,SK,,,2024-07-23,3450000,대구광역시 북구
화성제2주유소,대구광역시,북구,대구광역시 북구 사수로 523 (팔달동),,,35.89475277,128.5339748,GS,,,2024-07-23,3450000,대구광역시 북구
산동주유소,대구광역시,북구,대구광역시 북구 노원로 28 (노원동3가),,,35.89155533,128.566052,GS,,,2024-07-23,3450000,대구광역시 북구
대구주선합동터미널주유소,대구광역시,북구,"대구광역시 북구 서재로 540 (금호동,외 1필지(서구 상리동 649-12))",,,35.88625551,128.5302648,S-Oil,,,2024-07-23,3450000,대구광역시 북구
동로주유소,대구광역시,북구,대구광역시 북구 신천동로 714 (대현동),,,35.88347158,128.6026099632,알뜰,,,2024-07-23,3450000,대구광역시 북구
한국광유(주)칠곡매천주유소,대구광역시,북구,대구광역시 북구 매천로 149 (매천동),,,35.91038179,128.5418827,알뜰,,,2024-07-23,3450000,대구광역시 북구
덕영주유소,대구광역시,북구,대구광역시 북구 매천로 290 (태전동),,,35.92243575,128.5396443,S-Oil,,,2024-07-23,3450000,대구광역시 북구
오일월드주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 25 (팔달동,외1필지(524-81))",,,35.89878586,128.5476958,GS,,,2024-07-23,3450000,대구광역시 북구
SK에너지(주) 칠곡IC주유소,대구광역시,북구,대구광역시 북구 관음로 141 (관음동),,,35.94307196,128.5420186,SK,,,2024-07-23,3450000,대구광역시 북구
(주)에너지영신,대구광역시,북구,대구광역시 북구 호국로 729 (학정동),,,35.95123184,128.5698335,알뜰,,,2024-07-23,3450000,대구광역시 북구
칠곡중앙대로 주유소,대구광역시,북구,"대구광역시 북구 칠곡중앙대로 120 (매천동,외 2필지(269-10, 269-1))",,,35.90629598,128.5477045,S-Oil,,,2024-07-23,3450000,대구광역시 북구
칠곡제일주유소,대구광역시,북구,대구광역시 북구 구리로 161 (국우동),,,35.94736206,128.5727332,S-Oil,,,2024-07-23,3450000,대구광역시 북구
(주)금강주유소,대구광역시,북구,대구광역시 북구 대학로 45 (산격동),,,35.89088031,128.6057058,현대,,,2024-07-23,3450000,대구광역시 북구
동서변주유소,대구광역시,북구,대구광역시 북구 호국로 141 (서변동),,,35.91420072,128.5995646,알뜰,,,2024-07-23,3450000,대구광역시 북구
구도일주유소 대구,대구광역시,북구,대구광역시 북구 매천로 153 (매천동),,,35.91087239,128.5420644,S-Oil,,,2024-07-23,3450000,대구광역시 북구
까치주유소,대구광역시,북구,대구광역시 북구 호국로 322 (서변동),,,35.93062827,128.5995489,GS,,,2024-07-23,3450000,대구광역시 북구
소원주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 641 (읍내동),,,35.95275525,128.5535451,SK,,,2024-07-23,3450000,대구광역시 북구
SK에너지(주)거산주유소,대구광역시,북구,대구광역시 북구 호국로 303 (서변동),,,35.92897422,128.5984069,SK,,,2024-07-23,3450000,대구광역시 북구
정다운주유소,대구광역시,북구,대구광역시 북구 구암로 232 (구암동),,,35.9320605,128.5662966,현대,,,2024-07-23,3450000,대구광역시 북구
(주)동천주유소,대구광역시,북구,대구광역시 북구 팔거천동로 197 (동천동),,,35.94153355,128.5576196,SK,,,2024-07-23,3450000,대구광역시 북구
지에스칼텍스(주)구암주유소,대구광역시,북구,대구광역시 북구 구암로 340 (구암동),,,35.94062585,128.5703141,현대,,,2024-07-23,3450000,대구광역시 북구
리더스셀프주유소,대구광역시,북구,대구광역시 북구 호국로 814 (학정동),,,35.95823497,128.5662164,알뜰,,,2024-07-23,3450000,대구광역시 북구
대성산업(주)복현대성주유소,대구광역시,북구,대구광역시 북구 검단로 12 (복현동),,,35.89889595,128.6155654,GS,,,2024-07-23,3450000,대구광역시 북구
에이치디현대오일뱅크(주)직영대구현대주유소,대구광역시,북구,대구광역시 북구 유통단지로13길 38 (산격동),,,35.91020834,128.6075446,현대,,,2024-07-23,3450000,대구광역시 북구
무지개주유소,대구광역시,북구,대구광역시 북구 연암로 198 (산격동),,,35.90232929,128.5966089,알뜰,,,2024-07-23,3450000,대구광역시 북구
(주)북대구IC주유소,대구광역시,북구,대구광역시 북구 동북로 113 (산격동),,,35.90228876,128.6063555,S-Oil,,,2024-07-23,3450000,대구광역시 북구
SK에너지(주)맘모스주유소,대구광역시,북구,대구광역시 북구 동북로 21 (산격동),,,35.90217468,128.5958948,SK,,,2024-07-23,3450000,대구광역시 북구
선진주유소,대구광역시,북구,대구광역시 북구 연암로 119 (산격동),,,35.89522233,128.5942852,GS,,,2024-07-23,3450000,대구광역시 북구
에이치디현대오일뱅크(주)직영유통단지주유소,대구광역시,북구,대구광역시 북구 검단로 93 (산격동),,,35.90579236,128.6180468,현대,,,2024-07-23,3450000,대구광역시 북구
대보주유소,대구광역시,북구,대구광역시 북구 호국로 721 (학정동),,,35.95050341,128.5699674,S-Oil,,,2024-07-23,3450000,대구광역시 북구
평화주유소,대구광역시,남구,대구광역시 남구 이천로 97,대구광역시 남구 봉덕동 477-1,053-472-6600,35.8496552,128.5982679,S-Oil,도현화,,2024-08-05,3440000,대구광역시 남구
복현셀프주유소,대구광역시,북구,대구광역시 북구 동북로 256 (복현동),,,35.89439672,128.6184252,SK,,,2024-07-23,3450000,대구광역시 북구
대일종합에너지주유소태전점,대구광역시,북구,대구광역시 북구 태전로 14 (태전동),,,35.92206099,128.5460639,현대,,,2024-07-23,3450000,대구광역시 북구
태왕주유소,대구광역시,북구,대구광역시 북구 동북로 9 (산격동),,,35.90187209,128.5946057,현대,,,2024-07-23,3450000,대구광역시 북구
칠곡중앙셀프주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 603 (읍내동),,,35.94940321,128.5520049,SK,,,2024-07-23,3450000,대구광역시 북구
기분좋은SELF주유소,대구광역시,북구,대구광역시 북구 칠곡중앙대로 290 (태전동),,,35.92155237,128.5471357,현대,,,2024-07-23,3450000,대구광역시 북구
